,model,tn,fp,fn,tp,accuracy,recall,f1_score
0,Logistic Regression,407341,17083,4,6116,0.9603129993682411,0.9993464052287582,0.41720386097752304
1,SVM,424036,388,1,6119,0.9990964918800401,0.9998366013071895,0.9691929991288509
2,Gradient Boosting Classifier,424136,288,108,6012,0.9990802333791668,0.9823529411764705,0.9681159420289855
